,1,,2,,3,,4,,5,,6,,7,,8,,9,,10
Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness
0.864739,0.930351,0.870067,0.888232,0.865231,0.887279,0.936969,0.958299,0.860197,0.885918,0.933513,0.958299,0.939858,0.958299,0.863603,0.885918,0.867145,0.923707,0.850727,0.888232
0.868738,0.930351,0.869112,0.888232,0.868983,0.887279,0.936488,0.958299,0.863664,0.885918,0.938104,0.958299,0.939049,0.958299,0.862607,0.885918,0.86709,0.923707,0.853376,0.888232
0.868107,0.930351,0.870943,0.888232,0.860428,0.887279,0.926038,0.958299,0.856078,0.885918,0.936928,0.958299,0.934999,0.958299,0.866044,0.885918,0.86677,0.923707,0.852669,0.888232
0.866261,0.930351,0.867556,0.888232,0.867393,0.887279,0.92686,0.958299,0.858046,0.885918,0.932187,0.958299,0.933443,0.958299,0.865914,0.885918,0.865511,0.923707,0.854111,0.888232
0.869931,0.930351,0.867568,0.888232,0.87096,0.887279,0.93297,0.958299,0.862551,0.885918,0.922752,0.958299,0.932997,0.958299,0.869005,0.885918,0.860966,0.923707,0.856508,0.888232
0.871765,0.930351,0.865068,0.888232,0.870893,0.887279,0.928744,0.958299,0.85877,0.885918,0.914832,0.958299,0.928575,0.958299,0.869112,0.885918,0.860775,0.923707,0.855314,0.888232
0.873632,0.930351,0.865732,0.888232,0.868479,0.887279,0.931735,0.958299,0.865074,0.885918,0.916003,0.958299,0.931796,0.958299,0.870234,0.885918,0.86446,0.923707,0.855939,0.888232
0.875871,0.930351,0.870403,0.888232,0.860462,0.887279,0.926128,0.958299,0.864209,0.885918,0.916921,0.958299,0.934016,0.958299,0.86166,0.885918,0.86677,0.923707,0.858046,0.888232
0.869979,0.930351,0.866825,0.888232,0.861435,0.887279,0.929161,0.958299,0.863171,0.885918,0.929246,0.958299,0.928133,0.958299,0.866625,0.885918,0.867432,0.923707,0.863333,0.888232
0.865205,0.930351,0.866534,0.888232,0.864095,0.887279,0.925834,0.958299,0.857694,0.885918,0.937622,0.958299,0.937222,0.958299,0.865702,0.885918,0.867881,0.923707,0.863792,0.888232
0.866848,0.930351,0.871609,0.888232,0.865208,0.887279,0.929185,0.958299,0.864046,0.885918,0.933685,0.958299,0.934043,0.958299,0.86947,0.885918,0.860502,0.923707,0.856769,0.888232
0.859142,0.930351,0.875413,0.888232,0.864851,0.887279,0.931035,0.958299,0.855817,0.885918,0.935628,0.958299,0.934759,0.958299,0.869232,0.885918,0.866395,0.923707,0.857348,0.888232
0.866265,0.930351,0.866943,0.888232,0.867072,0.887279,0.933743,0.958299,0.865122,0.885918,0.933407,0.958299,0.933843,0.958299,0.867379,0.885918,0.863289,0.923707,0.864419,0.888232
0.864519,0.930351,0.874868,0.888232,0.870352,0.887279,0.937453,0.958299,0.854974,0.885918,0.938886,0.958299,0.930634,0.958299,0.872467,0.885918,0.870317,0.923707,0.86407,0.888232
0.87395,0.930351,0.871544,0.888232,0.869953,0.887279,0.934632,0.958299,0.864766,0.885918,0.93231,0.958299,0.925511,0.958299,0.865388,0.885918,0.869107,0.923707,0.856535,0.888232
0.873463,0.930351,0.870713,0.888232,0.872676,0.887279,0.930045,0.958299,0.85726,0.885918,0.939272,0.958299,0.927839,0.958299,0.865897,0.885918,0.870139,0.923707,0.86649,0.888232
0.868616,0.930351,0.871221,0.888232,0.872696,0.887279,0.932291,0.958299,0.863441,0.885918,0.937922,0.958299,0.927585,0.958299,0.871339,0.885918,0.868553,0.923707,0.862549,0.888232
0.874742,0.930351,0.873304,0.888232,0.872024,0.887279,0.936257,0.958299,0.861232,0.885918,0.927259,0.958299,0.935475,0.958299,0.86552,0.885918,0.862175,0.923707,0.865275,0.888232
0.865888,0.930351,0.870276,0.888232,0.870907,0.887279,0.932238,0.958299,0.86362,0.885918,0.929671,0.958299,0.931223,0.958299,0.870791,0.885918,0.867559,0.923707,0.864594,0.888232
0.870667,0.930351,0.875591,0.888232,0.871621,0.887279,0.924468,0.958299,0.865321,0.885918,0.929688,0.958299,0.932325,0.958299,0.873736,0.885918,0.866218,0.923707,0.861057,0.888232
0.870045,0.930351,0.872325,0.888232,0.871454,0.887279,0.927304,0.958299,0.871801,0.885918,0.932613,0.958299,0.927707,0.958299,0.868918,0.885918,0.871706,0.923707,0.861516,0.888232
0.869532,0.930351,0.874621,0.888232,0.876509,0.887279,0.923781,0.958299,0.870641,0.885918,0.928667,0.958299,0.92784,0.958299,0.875964,0.885918,0.870335,0.923707,0.8628,0.888232
0.870505,0.930351,0.867687,0.888232,0.871663,0.887279,0.926112,0.958299,0.865361,0.885918,0.925913,0.958299,0.929337,0.958299,0.86613,0.885918,0.862522,0.923707,0.866841,0.888232
0.870526,0.930351,0.861151,0.888232,0.865087,0.887279,0.922593,0.958299,0.866976,0.885918,0.939104,0.958299,0.934102,0.958299,0.861584,0.885918,0.871295,0.923707,0.863522,0.888232
